[2026-04-06 22:00:53] INFO     | FlaskApp | Processed 25 traffic samples
[2026-04-06 22:00:56] INFO     | NetworkMonitor | Simulated 25 packets
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=43.52)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=42.5)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=44.01)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=41.19)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=42.9)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=45.46)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=43.36)
[2026-04-06 22:00:56] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:56] WARNING  | Detector | Prediction: Suspicious (score=45.55)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=45.58)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=44.67)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=41.55)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=40.17)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=43.94)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=41.36)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=41.47)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=41.89)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=40.55)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=44.36)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Malicious (score=50.04)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=43.86)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=42.49)
[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=42.72)
